EmployeeNumber,EmployeeName,TransactionDate,Vendor,TransactionAmount
E003,David Lee,2025-10-10,Amazon,36.67
E005,Michael Brown,2025-08-16,Staples,674.88
E005,Michael Brown,2025-12-10,Marriott,1379.98
E005,Michael Brown,2025-06-21,Uber,1365.21
E001,John Smith,2025-06-01,Marriott,426.82
E002,Mary Johnson,2025-05-20,Staples,69.31
E002,Mary Johnson,2025-07-03,Staples,955.64
E004,Sarah Davis,2025-03-18,Marriott,101.1
E001,John Smith,2025-05-13,Staples,204.99
E002,Mary Johnson,2025-01-12,Delta Airlines,911.74
E002,Mary Johnson,2025-07-07,Staples,1213.16
E001,John Smith,2025-05-14,FedEx,187.72
E004,Sarah Davis,2025-11-02,Staples,227.0
E001,John Smith,2025-12-17,Delta Airlines,923.87
E002,Mary Johnson,2025-08-03,Marriott,751.13
E002,Mary Johnson,2025-11-08,Amazon,961.88
E004,Sarah Davis,2025-05-07,Marriott,940.47
E001,John Smith,2025-07-25,Amazon,410.48
E003,David Lee,2025-11-06,FedEx,749.69
E003,David Lee,2025-01-31,Uber,996.87
E002,Mary Johnson,2025-07-30,Marriott,1071.22
E004,Sarah Davis,2025-01-14,Staples,625.67
E001,John Smith,2025-09-18,FedEx,572.2
E003,David Lee,2025-07-12,FedEx,1274.44
E001,John Smith,2025-06-19,Amazon,1412.17
E001,John Smith,2025-05-17,Marriott,511.05
E002,Mary Johnson,2025-02-06,Amazon,1060.19
E003,David Lee,2025-10-09,Marriott,275.08
E004,Sarah Davis,2025-12-27,FedEx,145.42
E003,David Lee,2025-11-30,Uber,581.63
E005,Michael Brown,2025-04-24,Staples,674.85
E004,Sarah Davis,2025-06-30,Marriott,890.65
E004,Sarah Davis,2025-09-01,FedEx,1147.61
E004,Sarah Davis,2025-01-06,FedEx,881.14
E002,Mary Johnson,2025-12-27,Amazon,377.56
E004,Sarah Davis,2025-08-04,Marriott,1449.29
E001,John Smith,2025-02-09,Marriott,1462.45
E005,Michael Brown,2025-02-13,Marriott,1430.39
E004,Sarah Davis,2025-02-01,Marriott,297.21
E002,Mary Johnson,2025-03-05,Marriott,103.92
E001,John Smith,2025-08-28,Amazon,139.67
E005,Michael Brown,2025-09-23,Amazon,1422.7
E002,Mary Johnson,2025-07-08,Amazon,282.94
E001,John Smith,2025-10-03,Uber,1385.84
E004,Sarah Davis,2025-01-07,Delta Airlines,1397.93
E004,Sarah Davis,2025-04-30,Amazon,1343.39
E005,Michael Brown,2025-11-11,FedEx,1145.49
E002,Mary Johnson,2025-05-06,Uber,788.65
E005,Michael Brown,2025-11-26,Staples,1078.88
E003,David Lee,2025-06-19,Marriott,657.86
E003,David Lee,2025-12-22,Amazon,102.67
E003,David Lee,2025-01-03,Marriott,690.99
E003,David Lee,2025-08-08,Staples,359.81
E005,Michael Brown,2025-02-28,Uber,37.8
E002,Mary Johnson,2025-12-18,Delta Airlines,616.68
E004,Sarah Davis,2025-01-27,FedEx,1114.16
E003,David Lee,2025-06-20,Marriott,250.56
E004,Sarah Davis,2025-03-21,Uber,488.77
E003,David Lee,2025-10-07,Marriott,1461.97
E005,Michael Brown,2025-10-03,FedEx,46.85
E004,Sarah Davis,2025-08-15,FedEx,1059.26
E004,Sarah Davis,2025-06-22,Staples,1225.53
E004,Sarah Davis,2025-01-30,Marriott,972.15
E005,Michael Brown,2025-03-09,Uber,856.55
E005,Michael Brown,2025-06-21,Uber,425.73
E005,Michael Brown,2025-11-24,FedEx,549.58
E001,John Smith,2025-09-20,Marriott,608.27
E001,John Smith,2025-06-01,FedEx,22.13
E004,Sarah Davis,2025-03-06,Staples,1416.02
E001,John Smith,2025-02-26,FedEx,947.6
E005,Michael Brown,2025-10-01,Uber,1438.01
E005,Michael Brown,2025-08-25,Staples,1493.54
E004,Sarah Davis,2025-11-21,Staples,427.94
E001,John Smith,2025-06-08,Uber,1185.46
E001,John Smith,2025-11-21,Staples,971.56
E005,Michael Brown,2025-03-24,Uber,968.75
E002,Mary Johnson,2025-01-31,Marriott,1340.78
E005,Michael Brown,2025-07-21,Uber,803.6
E001,John Smith,2025-03-03,Marriott,1217.17
E002,Mary Johnson,2025-07-14,Staples,301.28
E001,John Smith,2025-01-08,Delta Airlines,755.05
E001,John Smith,2025-09-01,Uber,298.16
E004,Sarah Davis,2025-01-20,Staples,804.2
E003,David Lee,2025-12-30,Uber,1428.72
E004,Sarah Davis,2025-08-11,Amazon,917.37
E001,John Smith,2025-06-01,Amazon,914.19
E001,John Smith,2025-04-13,Marriott,730.69
E001,John Smith,2025-12-22,Amazon,436.8
E005,Michael Brown,2025-03-31,Amazon,1014.2
E001,John Smith,2025-04-23,Delta Airlines,1433.96
E002,Mary Johnson,2025-02-25,Uber,514.1
E005,Michael Brown,2025-12-01,FedEx,659.9
E005,Michael Brown,2025-03-07,Staples,381.58
E005,Michael Brown,2025-10-15,Amazon,527.6
E003,David Lee,2025-06-01,FedEx,1171.35
E003,David Lee,2025-11-06,Uber,863.85
E001,John Smith,2025-10-15,Marriott,375.56
E005,Michael Brown,2025-07-20,Staples,1147.98
E001,John Smith,2025-09-15,Staples,1352.39
E004,Sarah Davis,2025-09-10,Staples,1280.36
E001,John Smith,2025-11-22,Marriott,1435.58
E002,Mary Johnson,2025-11-28,FedEx,1220.36
E005,Michael Brown,2025-07-29,Delta Airlines,1194.56
E004,Sarah Davis,2025-02-16,Uber,335.01
E002,Mary Johnson,2025-09-09,Amazon,318.15
E005,Michael Brown,2025-03-14,FedEx,999.09
E005,Michael Brown,2025-11-28,Staples,1271.08
E002,Mary Johnson,2025-06-18,FedEx,63.28
E001,John Smith,2025-09-04,Amazon,397.97
E003,David Lee,2025-11-04,Amazon,37.47
E002,Mary Johnson,2025-12-19,Uber,690.74
E004,Sarah Davis,2025-10-29,Marriott,1414.5
E004,Sarah Davis,2025-05-13,Amazon,707.48
E004,Sarah Davis,2025-12-29,Staples,698.09
E001,John Smith,2025-02-03,Uber,1377.21
E003,David Lee,2025-12-26,Uber,860.67
E004,Sarah Davis,2025-07-03,Staples,246.64
E005,Michael Brown,2025-01-05,Staples,200.77
E002,Mary Johnson,2025-07-04,FedEx,874.51
E001,John Smith,2025-01-06,Marriott,808.86
E003,David Lee,2025-12-16,Amazon,648.85
E005,Michael Brown,2025-12-11,Uber,864.01
E001,John Smith,2025-11-04,Uber,316.01
E004,Sarah Davis,2025-06-04,Uber,531.0
E005,Michael Brown,2025-09-16,Delta Airlines,1485.35
E005,Michael Brown,2025-04-16,Delta Airlines,219.34
E003,David Lee,2025-05-11,Uber,1288.24
E003,David Lee,2025-11-12,FedEx,1128.67
E004,Sarah Davis,2025-10-14,Uber,599.15
E005,Michael Brown,2025-12-24,Amazon,43.58
E002,Mary Johnson,2025-07-10,Amazon,658.11
E001,John Smith,2025-11-24,Amazon,753.14
E001,John Smith,2025-02-02,Marriott,1487.5
E003,David Lee,2025-07-26,Delta Airlines,476.39
E003,David Lee,2025-08-07,Marriott,872.19
E004,Sarah Davis,2025-10-22,Staples,115.92
E003,David Lee,2025-09-11,Delta Airlines,498.92
E001,John Smith,2025-12-23,Amazon,1197.58
E005,Michael Brown,2025-10-28,Uber,730.76
E002,Mary Johnson,2025-01-16,FedEx,496.56
E003,David Lee,2025-06-02,Delta Airlines,645.43
E004,Sarah Davis,2025-02-26,FedEx,1053.14
E003,David Lee,2025-09-04,Delta Airlines,872.83
E005,Michael Brown,2025-05-12,Staples,235.89
E004,Sarah Davis,2025-09-12,Delta Airlines,963.97
E005,Michael Brown,2025-09-18,Staples,343.12
E001,John Smith,2025-02-20,Marriott,710.62
E004,Sarah Davis,2025-03-09,Marriott,891.2
E005,Michael Brown,2025-05-07,Uber,350.17
E003,David Lee,2025-08-15,Amazon,1098.21
E005,Michael Brown,2025-09-27,Uber,1062.86
E002,Mary Johnson,2025-05-25,FedEx,243.67
E002,Mary Johnson,2025-03-20,FedEx,402.2
E003,David Lee,2025-10-31,Marriott,843.73
E005,Michael Brown,2025-12-23,Uber,1403.83
E005,Michael Brown,2025-08-03,Marriott,438.87
E002,Mary Johnson,2025-12-10,Staples,957.61
E004,Sarah Davis,2025-10-30,Amazon,693.26
E001,John Smith,2025-08-13,Amazon,1035.37
E003,David Lee,2025-09-17,Amazon,1114.98
E004,Sarah Davis,2025-04-27,Marriott,677.79
E001,John Smith,2025-11-10,Staples,1146.5
E003,David Lee,2025-08-01,Marriott,1475.59
E002,Mary Johnson,2025-05-04,Delta Airlines,56.62
E005,Michael Brown,2025-04-06,FedEx,1053.53
E001,John Smith,2025-04-06,Delta Airlines,149.71
E005,Michael Brown,2025-06-03,Uber,654.69
E004,Sarah Davis,2025-06-29,FedEx,473.18
E005,Michael Brown,2025-04-21,Amazon,530.51
E005,Michael Brown,2025-12-16,Marriott,895.65
E005,Michael Brown,2025-09-29,FedEx,108.96
E003,David Lee,2025-10-30,Amazon,1049.64
E004,Sarah Davis,2025-10-10,Amazon,885.97
E003,David Lee,2025-09-09,Amazon,1273.4
E002,Mary Johnson,2025-02-05,Amazon,640.65
E002,Mary Johnson,2025-12-14,Staples,832.79
E003,David Lee,2025-12-14,Delta Airlines,1234.42
E005,Michael Brown,2025-05-16,FedEx,665.44
E003,David Lee,2025-03-22,Uber,1181.52
E001,John Smith,2025-03-15,Delta Airlines,1355.36
E005,Michael Brown,2025-06-26,Amazon,1036.91
E003,David Lee,2025-05-17,Delta Airlines,318.66
E003,David Lee,2025-01-10,Amazon,1135.44
E001,John Smith,2025-03-07,Marriott,133.77
E001,John Smith,2025-09-29,Marriott,584.78
E002,Mary Johnson,2025-09-27,Marriott,207.31
E002,Mary Johnson,2025-08-11,FedEx,1378.03
E004,Sarah Davis,2025-06-10,Marriott,989.59
E005,Michael Brown,2025-06-30,Amazon,1192.5
E001,John Smith,2025-03-25,Uber,987.27
E003,David Lee,2025-09-27,Uber,1486.96
